file,latitude,longitude,gps_altitude_m,reference_elevation_m,delta_m
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.146872,-70.084473,2295.3,2264.2,-31.1
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147033,-70.085460,2295.3,2272.3,-23.0
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147077,-70.085770,2295.3,2274.0,-21.3
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147131,-70.086126,2295.3,2277.1,-18.2
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147205,-70.086440,2295.3,2278.5,-16.8
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147269,-70.086788,2295.3,2280.2,-15.1
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147265,-70.086843,2295.3,2280.2,-15.1
fdr_Test_Ruta_minerva_Jorge_1786029005694.gpx,-35.147265,-70.086843,2295.3,2280.2,-15.1
fdr_Test_Ruta_minerva_Jorge_1786029857773.gpx,-35.148274,-70.095380,2375.7,2350.0,-25.7
fdr_Test_Ruta_minerva_Jorge_1786031147312.gpx,-35.138293,-70.086741,2298.7,2351.7,53.0
fdr_Test_Ruta_minerva_Jorge_1786031147312.gpx,-35.138293,-70.086741,2298.7,2351.7,53.0
fdr_Test_Ruta_minerva_Jorge_1786033930964.gpx,-35.144260,-70.097077,2296.1,2596.0,299.9
fdr_Test_Ruta_minerva_Jorge_1786033931045.gpx,-35.144260,-70.097077,2296.1,2596.0,299.9
fdr_Test_Ruta_minerva_Jorge_1786033931746.gpx,-35.144260,-70.097077,2296.1,2596.0,299.9
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.149082,-70.094602,2375.7,2341.2,-34.5
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.149028,-70.094578,2375.7,2341.2,-34.5
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.149028,-70.094578,2375.7,2341.2,-34.5
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.147422,-70.085482,2295.4,2271.5,-23.9
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.147422,-70.085482,2295.4,2271.5,-23.9
fdr_Test_Ruta_minerva_Jorge_1786033934105.gpx,-35.147422,-70.085482,2295.4,2271.5,-23.9
fdr_Test_Ruta_minerva_Jorge_1786036720338.gpx,-35.138737,-70.090692,2295.4,2426.5,131.1
fdr_Test_Ruta_minerva_Jorge_1786036720338.gpx,-35.138737,-70.090692,2295.4,2426.5,131.1
fdr_Test_Ruta_minerva_Jorge_1786036720338.gpx,-35.138737,-70.090692,2295.4,2426.5,131.1
fdr_Test_Ruta_minerva_Jorge_1786040002408.gpx,-35.145021,-70.112613,0.0,2672.1,2672.1
fdr_Test_Ruta_minerva_Jorge_1786040002408.gpx,-35.145021,-70.112613,0.0,2672.1,2672.1
fdr_Test_Ruta_minerva_Jorge_1786040616450.gpx,-35.148902,-70.094755,2296.1,2342.2,46.1
fdr_Test_Ruta_minerva_Jorge_1786040616450.gpx,-35.148902,-70.094755,2296.1,2342.2,46.1
fdr_Test_Ruta_minerva_Jorge_1786041666549.gpx,-35.144802,-70.112707,2704.8,2674.4,-30.4
fdr_Test_Ruta_minerva_Jorge_1786041666549.gpx,-35.144831,-70.112665,2713.1,2669.6,-43.5
fdr_Test_Ruta_minerva_Jorge_1786044348533.gpx,-35.147260,-70.100922,2303.1,2423.4,120.3
fdr_Test_Ruta_minerva_Jorge_1786044348533.gpx,-35.147260,-70.100922,2303.1,2423.4,120.3
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.146546,-70.082180,2282.0,2249.1,-32.9
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.146546,-70.082180,2282.0,2249.1,-32.9
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.146546,-70.082180,2282.0,2249.1,-32.9
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.146546,-70.082180,2282.0,2249.1,-32.9
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.146546,-70.082180,2282.0,2249.1,-32.9
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.141917,-70.084676,2287.2,2284.1,-3.1
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.141917,-70.084676,2287.2,2284.1,-3.1
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.141917,-70.084676,2287.2,2284.1,-3.1
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.147505,-70.083452,2291.9,2262.2,-29.7
fdr_Test_Ruta_minerva_Jorge_1786044899504.gpx,-35.147505,-70.083452,2291.9,2262.2,-29.7
fdr_Test_Ruta_minerva_a_Jorge_1786023499130.gpx,-35.139122,-70.092800,2295.3,2494.1,198.8
fdr_Test_Ruta_minerva_a_Jorge_1786023499130.gpx,-35.139122,-70.092800,2295.3,2494.1,198.8
fdr_Test_Ruta_minerva_a_Jorge_1786025742583.gpx,-35.142152,-70.082557,2295.3,2257.1,-38.2
fdr_Test_Ruta_minerva_a_Jorge_1786025742583.gpx,-35.135396,-70.087486,2286.5,2404.6,118.1
fdr_Test_Ruta_minerva_tk_Jorge_1785941490532.gpx,-35.142602,-70.082995,2295.3,2262.8,-32.5
